Topic,Size,Total Domestic Gross,Total Worldwide Gross
Race Relations,35,"$147,502,883 ","$203,104,216 "
Radio Industry,35,"$251,970,063 ","$405,858,913 "
Set in Ireland,35,"$78,611,423 ","$211,478,837 "
Summer Vacation,35,"$337,838,257 ","$1,069,980,978 "
Sword & Sorcerer,35,"$1,151,673,727 ","$3,181,479,253 "
TV Mini-Series,35,"$65,666,807 ","$83,909,742 "
Avant Garde,34,"$12,667,207 ","$35,596,529 "
Fairies,34,"$1,199,736,008 ","$3,347,559,555 "
Filmed By a Character,34,"$396,772,786 ","$699,120,581 "
Restaurants,34,"$280,796,451 ","$880,182,318 "
Trains,34,"$673,650,142 ","$1,792,378,385 "
Child Prodigy,33,"$669,136,921 ","$1,083,165,318 "
Children Dealing with Divorce,33,"$881,783,613 ","$2,187,100,619 "
Deaf,33,"$374,212,190 ","$1,056,840,902 "
Drug Cartels,33,"$518,891,110 ","$952,881,011 "
Forbidden Romance,33,"$464,152,461 ","$1,465,027,598 "
Independent/Other Comics,33,"$1,081,534,459 ","$2,067,198,885 "
Nature Documentary,33,"$114,227,150 ","$237,182,982 "
Poet,33,"$25,799,039 ","$68,717,651 "
Theater Actor,33,"$77,536,009 ","$239,499,545 "
11-Sep,32,"$496,413,073 ","$974,485,693 "
Action Adventure,32,"$5,525,940,443 ","$16,379,752,868 "
Action Horror,32,"$1,326,063,758 ","$3,811,632,555 "
Government Bureaucracy,32,"$241,702,026 ","$595,089,490 "
Hockey,32,"$900,764,565 ","$1,561,498,544 "
Monks and Nuns,32,"$239,514,851 ","$1,104,943,003 "
Non Professional Actor,32,"$262,256,017 ","$607,452,736 "
One Night,32,"$281,536,301 ","$473,981,188 "
Orthodox Religion,32,"$39,911,380 ","$215,460,941 "
Reincarnation,32,"$655,581,669 ","$1,444,365,054 "
1900s,31,"$450,404,462 ","$871,287,813 "
Compilations,31,"$31,837,520 ","$103,690,585 "
Exorcism,31,"$1,283,072,512 ","$2,819,596,517 "
Reboot,31,"$3,057,445,279 ","$7,796,886,376 "
Remade,31,"$615,213,028 ","$981,059,758 "
Set in Israel,31,"$112,393,106 ","$368,952,102 "
Tourists In Trouble,31,"$150,027,983 ","$250,091,632 "
Underground,31,"$264,133,841 ","$978,000,927 "
Voyeurism,31,"$62,578,611 ","$113,214,296 "
College Professor,30,"$587,464,154 ","$1,570,769,205 "
Family Comedy,30,"$1,448,740,797 ","$1,887,218,179 "
Fraternity/Sorority,30,"$1,113,706,033 ","$1,918,731,133 "
Gods and Goddesses,30,"$3,392,591,226 ","$9,571,469,007 "
Halloween,30,"$398,302,768 ","$567,285,937 "
Land Developer,30,"$306,964,460 ","$1,543,822,533 "
Media Circus,30,"$302,623,141 ","$627,401,491 "
Mixed Martial Arts,30,"$196,057,360 ","$931,420,874 "
Revolution,30,"$630,664,352 ","$1,628,928,501 "
Set in Brazil,30,"$158,473,257 ","$362,324,349 "
Set in Las Vegas,30,"$577,198,606 ","$987,135,678 "
Set in San Francisco,30,"$1,027,251,014 ","$2,445,029,634 "
Alien Encounters,29,"$574,499,508 ","$1,492,717,059 "
Crime Caper,29,"$918,078,557 ","$2,080,605,006 "
"Filmed in California, United States",29,"$11,504,347,502 ","$29,858,576,003 "
Interspecies Romance,29,"$3,467,049,151 ","$9,387,062,730 "
Iraq War,29,"$501,593,252 ","$963,610,080 "
Origin Story,29,"$3,680,058,276 ","$9,488,011,858 "
Pop Music,29,"$209,139,233 ","$747,150,273 "
Set in United Kingdom,29,"$385,848,232 ","$958,913,566 "
Stalker,29,"$321,518,726 ","$774,300,221 "
Whistleblowers,29,"$350,678,718 ","$546,775,011 "
Wish Granters,29,"$986,826,784 ","$2,366,448,474 "
1880s,28,"$567,162,434 ","$1,075,130,729 "
Advertising and Marketing,28,"$353,526,116 ","$638,947,127 "
Amateur Filmmakers,28,"$16,437,631 ","$35,224,985 "
Death of a Best Friend,28,"$1,551,135,328 ","$4,371,653,353 "
Golf,28,"$210,161,716 ","$249,192,529 "
Heaven and Hell,28,"$733,009,670 ","$1,467,115,212 "
Police Detective,28,"$765,802,132 ","$1,297,669,605 "
Satire,28,"$276,863,935 ","$761,329,654 "
Songwriter,28,"$182,731,121 ","$286,738,425 "
Wedding Planning,28,"$456,233,708 ","$896,959,475 "
AIDS,27,"$407,579,199 ","$1,339,235,718 "
Atheism,27,"$325,044,082 ","$964,955,056 "
Babysitters,27,"$1,269,758,058 ","$2,388,206,949 "
Character POV shot,27,"$584,361,787 ","$1,408,897,757 "
Circus,27,"$698,836,070 ","$1,988,123,999 "
Israeli Palestinian Conflict,27,"$12,914,480 ","$18,141,202 "
Medical Crimes,27,"$639,600,230 ","$1,504,693,275 "
Scary Kids,27,"$474,036,312 ","$862,153,217 "
Surrealism / Absurdism,27,"$62,085,784 ","$80,157,366 "
Archaeology,26,"$1,383,601,216 ","$4,254,740,860 "
Cowboys,26,"$144,718,804 ","$264,769,935 "
Folk Music,26,"$33,623,371 ","$67,359,748 "
Friendly Ghost,26,"$622,469,502 ","$1,683,463,080 "
Generational Conflict,26,"$633,465,394 ","$1,371,586,882 "
Historical Battles,26,"$975,109,960 ","$1,997,783,650 "
Museum,26,"$460,576,352 ","$1,108,766,686 "
On Tour,26,"$286,481,328 ","$868,847,212 "
Paralysis / Loss of a Limb,26,"$747,312,681 ","$2,060,224,728 "
Stage Magician,26,"$709,405,089 ","$1,853,292,777 "
Asian-Americans,25,"$372,546,911 ","$523,183,583 "
Bounty Hunter,25,"$443,895,880 ","$1,124,093,947 "
Coma,25,"$608,680,540 ","$2,035,871,927 "
Field Scientists,25,"$726,408,271 ","$1,941,276,536 "
Hagiography,25,"$27,168,539 ","$89,131,051 "
Infertility,25,"$858,910,184 ","$1,586,286,247 "
Near Death Experience,25,"$527,635,513 ","$1,020,745,191 "
Parasite,25,"$900,585,134 ","$2,412,069,927 "
Romeo and Juliet Romance,25,"$413,550,482 ","$870,182,033 "
Sequel With Lead Character Recast,25,"$3,062,130,998 ","$7,018,579,793 "
Slobs vs. Snobs,25,"$1,074,978,295 ","$1,860,201,524 "
Alternative Dimensions / Parallel universe,24,"$1,208,357,705 ","$3,246,462,038 "
Bank Robbery,24,"$175,919,596 ","$328,539,299 "
Covering Up an Accidental Death,24,"$113,941,423 ","$267,155,366 "
Entrepreneur,24,"$276,262,755 ","$576,362,270 "
High School Reunions,24,"$317,622,773 ","$592,675,679 "
Invented Language,24,"$2,668,101,105 ","$7,905,570,353 "
Love at First Sight,24,"$1,654,654,471 ","$3,844,577,590 "
Prank Gone Wrong,24,"$431,039,456 ","$781,338,988 "
Rockumentary,24,"$14,160,595 ","$28,615,434 "
Scientific Experiment Gone Awry,24,"$828,342,799 ","$2,116,133,293 "
Social Media,24,"$351,391,310 ","$842,645,392 "
Teenage Sex Comedy,24,"$247,183,255 ","$506,827,554 "
Training Montage,24,"$1,581,443,115 ","$3,668,163,073 "
Underground / Illegal Fighting,24,"$367,940,996 ","$774,351,513 "
Alien Abduction,23,"$644,731,425 ","$1,391,183,552 "
Crime Boss,23,"$700,272,215 ","$1,563,272,209 "
Desert,23,"$6,868,336 ","$26,296,614 "
Disability,23,"$183,074,987 ","$509,584,710 "
Extreme Sports,23,"$421,765,968 ","$1,265,649,259 "
Fat Suit,23,"$1,884,798,384 ","$2,727,442,443 "
Life Drama,23,"$1,621,778,396 ","$2,908,200,361 "
Models,23,"$113,495,406 ","$381,376,211 "
Mountain Climbing,23,"$247,838,630 ","$801,568,961 "
Prescription Drug Abuse,23,"$187,343,629 ","$487,544,938 "
Set in Scotland,23,"$339,643,810 ","$891,048,605 "
TV Episode,23,"$79,916 ","$2,192,351 "
Workaholic,23,"$450,959,773 ","$767,180,942 "
Action Comedy,22,"$1,257,132,012 ","$2,327,956,116 "
Beat Cops,22,"$476,808,196 ","$1,184,881,530 "
Black Comedy,22,"$903,048,821 ","$1,818,130,180 "
Civil Disobedience,22,"$39,213,381 ","$247,068,701 "
Civil Rights Movement,22,"$351,315,387 ","$531,989,763 "
Documentarian,22,"$8,468,795 ","$21,215,949 "
Filmed in United Kingdom,22,"$9,768,995,107 ","$24,718,585,366 "
Gastronomy,22,"$48,386,045 ","$71,635,395 "
Genocide,22,"$640,423,694 ","$1,402,863,168 "
Graduation,22,"$616,872,170 ","$1,193,712,789 "
Hackers,22,"$458,292,802 ","$1,755,807,518 "
Hitchhiker,22,"$63,275,302 ","$92,712,249 "
Hong Kong,22,"$341,530,675 ","$1,642,130,199 "
Intentional B Movie,22,"$8,921,773 ","$18,045,135 "
Parties Gone Wild,22,"$730,158,029 ","$933,040,126 "
Psychiatrist,22,"$9,492,762 ","$22,730,621 "
Scandal,22,"$19,962,611 ","$158,651,626 "
Set in Florida,22,"$597,081,041 ","$1,674,895,953 "
Set in Outer Space,22,"$2,590,608,961 ","$6,890,875,519 "
Spoiled Child,22,"$1,215,105,671 ","$3,068,370,775 "
Unconventional Pregnancies,22,"$525,988,876 ","$1,509,547,465 "
Woman in a Male Dominated Profession,22,"$357,876,124 ","$631,026,356 "
Bachelor Party,21,"$610,884,098 ","$1,182,133,096 "
Black Urban,21,"$529,401,696 ","$598,776,451 "
Country and Western Music,21,"$42,632,902 ","$48,371,283 "
Cyborg,21,"$1,725,558,718 ","$4,595,183,413 "
Direct-to-DVD Sequel for a Theatrical Release,21,$0 ,"$845,097 "
Discrimination,21,"$382,475,044 ","$825,722,784 "
Disrupted by COVID-19 pandemic,21,"$178,574,603 ","$622,758,571 "
Female empowerment,21,"$28,348,479 ","$83,739,908 "
Film Festival,21,"$9,059,237 ","$11,464,498 "
Filmed in England,21,"$9,090,179,625 ","$22,674,044,843 "
Hunting,21,"$71,340,951 ","$249,303,705 "
Mumblecore,21,"$1,619,745 ","$34,300,421 "
Newspaper Industry,21,"$310,643,454 ","$530,988,356 "
Outtakes During Credits,21,"$789,061,107 ","$1,474,310,021 "
Romantic Comedy,21,"$1,864,345,027 ","$3,538,039,275 "
Survivalist,21,"$198,979,700 ","$332,760,210 "
Character's Journey Shown on Map,20,"$1,859,233,265 ","$5,043,737,693 "
Crime drama,20,"$1,325,896,900 ","$2,330,589,259 "
Found Money,20,"$19,840,874 ","$50,155,934 "
High School Sports,20,"$293,974,613 ","$456,925,316 "
Magical Technology,20,"$941,515,416 ","$1,926,398,905 "
No Honor Among Thieves,20,"$438,573,510 ","$883,393,216 "
Nurse,20,"$46,823,000 ","$76,775,321 "
Ransom,20,"$66,462,833 ","$239,165,821 "
Rhythm and Blues,20,"$24,034,743 ","$42,989,373 "
Scientific Expedition,20,"$331,003,808 ","$824,985,501 "
"Set in New Orleans, LA",20,"$221,799,184 ","$366,380,309 "
Silent Film,20,"$82,337,649 ","$168,191,556 "
Skateboarding,20,"$12,458,770 ","$16,345,732 "
Stoner Comedy,20,"$285,721,997 ","$331,471,186 "
Whitewashed Casting,20,"$644,722,946 ","$1,651,665,484 "
Winter Sports,20,"$460,178,197 ","$747,861,195 "
Accidental Injury,19,"$334,333,558 ","$772,706,441 "
Cheerleaders,19,"$335,229,210 ","$602,038,828 "
Dinosaurs,19,"$2,128,240,116 ","$6,927,752,596 "
Doppelganger,19,"$313,403,484 ","$476,905,375 "
Familial Murder,19,"$20,272,758 ","$33,335,817 "
"Filmed in Los Angeles County, CA",19,"$8,223,967,169 ","$22,524,464,394 "
Learning Disabilities,19,"$340,598,323 ","$432,090,236 "
Neo Nazis,19,"$279,675,360 ","$397,569,509 "
Pharmaceuticals,19,"$189,231,294 ","$872,742,334 "
Religious Extremism,19,"$106,764,301 ","$145,802,226 "
Set in Argentina,19,"$20,304,048 ","$52,391,482 "
Set in Norway,19,"$11,144,389 ","$55,719,301 "
Set in Spain,19,"$5,996,049 ","$61,975,251 "
Sexism,19,"$291,180,639 ","$408,076,313 "
Track and Field,19,"$146,316,258 ","$192,319,891 "
Unemployed,19,"$98,367,721 ","$162,451,371 "
War Correspondent,19,"$78,349,929 ","$95,045,662 "
"Washington, D.C.",19,"$1,041,494,119 ","$2,031,031,646 "
Child Prostitution,18,"$40,960,966 ","$131,979,493 "
Cliffhanger Ending,18,"$1,207,868,871 ","$3,751,596,297 "
Cross-Culture Romance,18,"$291,639,764 ","$747,959,793 "
Exile,18,"$422,368,935 ","$1,573,006,679 "
Faith-Based Drama,18,"$1,147,681,066 ","$1,761,191,720 "
Feminism,18,"$43,113,658 ","$65,049,450 "
First Contact,18,"$1,524,200,474 ","$2,740,676,971 "
Former Professional Athlete,18,"$245,404,800 ","$287,176,204 "
Genetic Engineering,18,"$1,621,091,055 ","$5,227,220,783 "
Grindhouse,18,"$71,444,753 ","$177,104,844 "
Orphanage,18,"$501,887,633 ","$1,555,127,400 "
Pregnant Women,18,"$201,203,210 ","$594,472,846 "
Publishing Industry,18,"$300,613,191 ","$502,435,753 "
Recent College Graduate,18,"$174,014,291 ","$183,808,458 "
Set in Iran,18,"$11,315,454 ","$33,644,425 "
Set in Pakistan,18,"$12,331,883 ","$130,775,669 "
Space Opera,18,"$4,236,285,436 ","$9,066,709,875 "
Steampunk,18,"$579,404,703 ","$1,652,221,769 "
Teenage Mom,18,"$405,703,630 ","$637,681,584 "
Villain's Point of View,18,"$1,408,890,862 ","$3,413,150,741 "
Wall Street,18,"$470,901,293 ","$1,115,933,735 "
2020s,17,"$751,944,501 ","$1,907,546,582 "
Catholic,17,"$261,925,216 ","$615,015,513 "
Communism,17,"$11,431,166 ","$47,960,271 "
Cruel Wardens or Prison Guards,17,"$938,983,777 ","$2,094,976,622 "
Death of a Girlfriend / Boyfriend,17,"$11,982,428 ","$42,960,074 "
Exes in Love,17,"$1,059,431,307 ","$3,276,423,834 "
F-Rated,17,"$498,970,372 ","$777,726,718 "
Faked Suicide,17,"$143,410,397 ","$401,189,866 "
Famously Bad,17,"$160,801,362 ","$325,601,525 "
February / May Romance,17,"$189,348,722 ","$268,392,797 "
Heroic Adventure,17,"$4,538,826,808 ","$11,476,757,617 "
Hicksploitation,17,"$357,066,468 ","$474,532,532 "
Judd Apatow Buddy Comedy,17,"$1,601,387,289 ","$2,396,770,477 "
Police life,17,"$584,967,136 ","$1,084,843,551 "
Political Activist,17,"$37,235,936 ","$52,370,869 "
Sequels With Returning Stars,17,"$3,582,686,725 ","$10,659,870,552 "
Set in Manhattan,17,"$625,760,637 ","$1,232,067,919 "
Super Villains,17,"$3,423,403,490 ","$9,870,380,106 "
Thanksgiving,17,"$371,827,062 ","$579,712,148 "
Transexual,17,"$12,217,840 ","$57,122,738 "
Wire Fu,17,"$199,821,442 ","$948,191,352 "
Wuxia,17,"$184,201,626 ","$1,241,249,299 "
Abortion,16,"$26,490,844 ","$35,761,543 "
Angels,16,"$293,397,058 ","$783,400,844 "
Bad Role Models,16,"$572,015,175 ","$1,171,378,909 "
Bad Teachers,16,"$256,936,127 ","$445,728,509 "
Body in a Trunk,16,"$355,107,447 ","$609,372,760 "
Broadway,16,"$47,849,829 ","$108,724,373 "
Censorship,16,"$176,591,153 ","$217,765,323 "
Child Murderer,16,"$570,916,690 ","$1,250,788,587 "
Death of a Partner,16,"$364,122,151 ","$659,550,992 "
Double Agent,16,"$832,893,852 ","$1,904,377,768 "
Drug Overdose,16,"$52,137,564 ","$105,763,730 "
Erotic Thriller,16,"$130,695,937 ","$298,503,714 "
Experimental Film,16,"$1,009,747 ","$1,580,183 "
Family Drama,16,"$510,860,930 ","$1,018,178,810 "
Health & Fitness,16,"$4,616,281 ","$14,172,864 "
Horse Racing,16,"$229,022,878 ","$266,352,874 "
Mentor,16,"$640,266,317 ","$1,347,744,286 "
Mermaids,16,"$390,215,064 ","$1,791,817,130 "
Nazis Outside of World War II,16,"$214,060,527 ","$409,243,915 "
New Age,16,"$36,718,379 ","$45,951,950 "
Police Brutality,16,"$273,601,632 ","$445,237,086 "
Real Estate Agent,16,"$89,299,830 ","$188,038,930 "
Reenactments,16,"$15,370,171 ","$17,853,398 "
Set on Mars,16,"$409,934,721 ","$1,158,789,547 "
Skiing,16,"$179,164,707 ","$400,068,981 "
Spiritualism,16,"$3,269,863 ","$39,239,728 "
Strike,16,"$108,250,125 ","$220,160,117 "
Survival Horror,16,"$536,579,971 ","$1,072,026,910 "
Sword and Sandal,16,"$785,450,657 ","$2,712,980,571 "
The Devil,16,"$374,395,247 ","$810,042,636 "
War Drama,16,"$1,199,087,279 ","$2,233,631,020 "
Women’s Rights,16,"$175,527,517 ","$293,508,516 "
Abandoned Location,15,"$19,287,196 ","$69,277,281 "
Buddhism,15,"$3,307,583 ","$197,210,071 "
Chef,15,"$1,183,594 ","$49,596,983 "
College Sports,15,"$8,327,503 ","$10,374,090 "
Coming-of-Age Drama,15,"$1,076,751,044 ","$1,945,285,708 "
Community Service,15,"$66,630,899 ","$117,320,572 "
Composer,15,"$4,167,756 ","$33,785,346 "
Death of Other Extended Family,15,"$460,002,687 ","$1,003,062,671 "
December Romance,15,"$239,385,604 ","$523,670,667 "
Genderbending Casting,15,"$647,877,701 ","$1,220,337,984 "
Imaginary Character,15,"$127,767,154 ","$345,246,210 "
Kid Spies,15,"$495,022,689 ","$780,161,630 "
Long Distance Romance,15,"$138,625,061 ","$219,638,054 "
Mass Murderer,15,"$88,419 ","$1,568,018 "
Messy Divorce,15,"$183,122,854 ","$470,589,389 "
Minimal Cast,15,"$111,089,860 ","$172,178,084 "
Mummy,15,"$1,358,726,880 ","$3,725,252,056 "
One Set,15,"$3,970,702 ","$249,296,860 "
Resistance Fighter,15,"$87,977,850 ","$295,283,288 "
Riots,15,"$47,877,664 ","$82,994,235 "
Set in Cuba,15,"$1,412,431 ","$6,762,053 "
Stolen Identity,15,"$359,355,225 ","$872,067,561 "
Street Racing,15,"$788,446,420 ","$1,656,396,389 "
Therapist,15,"$121,761,079 ","$260,812,128 "
Alzheimer,14,"$22,896,469 ","$82,678,630 "
Ancient China,14,"$48,118,906 ","$1,084,208,106 "
Animal Rights,14,"$29,154,020 ","$42,805,297 "
Archival Footage of Previous Installment,14,"$1,630,992,980 ","$5,139,012,811 "
Bank Foreclosure,14,"$367,810,049 ","$759,922,773 "
Beauty Industry,14,"$351,454,433 ","$485,093,113 "
Beauty Pageants,14,"$77,096,153 ","$82,752,204 "
Child Soldier,14,"$263,738,818 ","$667,643,604 "
Confidential Informant,14,"$89,240,361 ","$182,147,956 "
Counterculture,14,"$18,853,616 ","$26,210,411 "
Dark Horse Comics,14,"$727,155,702 ","$1,636,247,949 "
Explorer,14,"$968,251,886 ","$2,483,782,887 "
Family Adventure,14,"$1,152,488,046 ","$2,927,070,336 "
Faustian,14,"$133,943,385 ","$447,932,938 "
House Arrest,14,"$439,958,784 ","$961,948,014 "
House Music / Electronica,14,"$44,657,139 ","$52,246,546 "
Intellectual Pursuits,14,"$26,217,156 ","$28,251,949 "
Intentionally Anachronistic,14,"$671,635,950 ","$1,696,225,659 "
Loan Shark,14,"$45,989,429 ","$72,052,470 "
Mass Shooting,14,"$2,241,273 ","$2,415,854 "
Moscow,14,"$376,780,705 ","$811,518,015 "
Newlyweds,14,"$259,160,501 ","$612,973,192 "
Political Protest,14,"$102,093,400 ","$218,417,795 "
Prom,14,"$493,668,919 ","$711,051,821 "
Retirement Home,14,"$26,438,875 ","$51,323,579 "
Set in Korea,14,"$4,846,433 ","$351,270,558 "
Set in Poland,14,"$24,273,572 ","$55,451,680 "
Set in Tokyo,14,"$72,235,397 ","$590,914,504 "
Shootout,14,"$265,272,819 ","$1,012,200,334 "
Talent Contest,14,"$490,002,527 ","$1,027,742,078 "
Tortured as Punishment,14,"$74,901,563 ","$232,627,585 "
Toy Adaptations,14,"$294,034,892 ","$785,303,524 "
Upstairs / Downstairs,14,"$521,581,225 ","$1,292,834,747 "
World Championship,14,"$13,834,025 ","$39,590,083 "
World Record Attempt,14,"$51,007,262 ","$148,567,181 "
1870s,13,"$3,385,999 ","$11,754,121 "
3D Re-release,13,"$3,730,628,091 ","$9,247,162,732 "
Battle of the Sexes,13,"$466,694,049 ","$954,586,973 "
Classical Music,13,"$13,120,590 ","$24,009,425 "
DEA Agent,13,"$521,773,272 ","$946,926,991 "
Death of a Colleague,13,"$136,819,687 ","$307,862,853 "
Drifter,13,"$160,496 ","$558,688 "
Dwarfism,13,"$353,024,864 ","$1,205,733,023 "
Faked Romance,13,"$213,700,953 ","$625,314,068 "
Family Reunion,13,"$205,992,548 ","$493,150,029 "
Gothic Horror,13,"$461,750,266 ","$1,056,623,305 "
Hit and Run,13,"$178,829,883 ","$310,960,396 "
Killer Clowns,13,"$591,677,234 ","$1,274,227,409 "
Killer Inanimate Objects,13,"$161,409,629 ","$274,200,736 "
Korean War,13,"$98,534,063 ","$412,342,667 "
Miscellaneous Racing,13,"$257,775,843 ","$682,579,353 "
Missing Pet,13,"$536,245,677 ","$1,156,475,827 "
Murder - Suicide,13,"$400,736,828 ","$1,042,881,397 "
Mystery Drama,13,"$888,657,524 ","$1,750,854,309 "
Nature Horror,13,"$630,683,612 ","$1,199,955,775 "
Nursing Home,13,"$4,552,911 ","$148,122,906 "
Painter,13,"$14,139,619 ","$89,968,407 "
POW,13,"$122,340,341 ","$209,191,653 "
Rodeo,13,"$91,523,850 ","$154,983,703 "
Screenwriters,13,"$8,510,179 ","$21,140,996 "
Set in Boston,13,"$122,662,322 ","$188,068,205 "
Set in Egypt,13,"$177,786,200 ","$448,043,000 "
Set in Middle East,13,"$36,339,870 ","$68,685,335 "
Set in New Zealand,13,"$5,337,916 ","$35,651,888 "
Set in Quebec,13,"$63,010,777 ","$107,672,148 "
Set in Soviet Union,13,"$11,124,968 ","$29,012,420 "
Sexual Awakening,13,"$110,998,425 ","$112,932,052 "
Social Outcast,13,"$476,998,505 ","$1,295,026,241 "
Suburbs,13,"$267,436,561 ","$367,525,661 "
Summer School,13,"$141,442,088 ","$150,477,312 "
Tennis,13,"$62,078,859 ","$104,727,488 "
TV News,13,"$347,394,372 ","$437,091,722 "
Viral Video,13,"$273,442,809 ","$947,609,998 "
1600s,12,"$216,389,179 ","$434,577,206 "
Backstage,12,"$74,669,807 ","$118,424,636 "
Bodyguard,12,"$79,313,928 ","$284,564,317 "
Chase Adventure,12,"$1,359,244,844 ","$2,817,137,475 "
Childhood Friends,12,"$38,413,704 ","$101,171,833 "
Coming Out,12,"$309,327,283 ","$574,928,624 "
Dinner Party,12,"$64,821,851 ","$79,489,942 "
Drug Trafficking,12,"$236,908,977 ","$493,403,346 "
Eating Disorder,12,"$20,408,343 ","$42,820,859 "
Economic Crash,12,"$34,875,197 ","$44,601,322 "
Enemies Forced to Work Together,12,"$678,982,773 ","$2,805,606,541 "
Fate or Destiny,12,"$244,901,894 ","$591,792,359 "
Franchise Crossover,12,"$2,474,114,353 ","$6,446,507,755 "
Hate Crime,12,"$123,944,418 ","$194,651,024 "
Indians,12,"$72,529,628 ","$121,923,210 "
Kaiju,12,"$848,409,414 ","$2,533,724,656 "
LGBT Rights Movement,12,"$740,017 ","$2,115,772 "
Mariticide / Uxoricide,12,"$185,334,440 ","$452,902,042 "
Murdered Child,12,"$4,083,584 ","$16,012,479 "
Nazi,12,"$8,145,496 ","$38,215,923 "
New Year's Day,12,"$17,776,306 ","$22,035,981 "
Outlaws,12,"$1,702,958 ","$3,101,220 "
Pantelion Films,12,"$26,436,920 ","$69,865,931 "
Paralysis,12,"$82,366,795 ","$252,387,457 "
Prophecy,12,"$495,419,097 ","$1,307,816,234 "
Recut,12,"$424,521,847 ","$990,611,340 "
Secret Societies,12,"$792,082,030 ","$2,444,873,642 "
Self Harm,12,"$21,104,645 ","$63,849,399 "
Set in Afghanistan,12,"$61,068,515 ","$154,513,282 "
Set in Arizona,12,"$263,644,976 ","$566,211,357 "
Set in Louisiana,12,"$290,158,552 ","$445,504,563 "
Set in Montana,12,"$2,252,406 ","$3,755,773 "
Skeptic,12,"$431,398,258 ","$855,685,386 "
Social Worker,12,"$117,753,748 ","$287,326,028 "
Spree Killer,12,"$167,828,120 ","$318,351,643 "
Super Soldiers,12,"$998,227,269 ","$3,013,778,915 "
Tiny Worlds,12,"$839,641,270 ","$1,908,896,941 "
Virtual Reality,12,"$1,018,832,677 ","$2,782,247,028 "
Witness Protection,12,"$559,260,045 ","$994,932,205 "
Adopted Family Seeking Reunion,11,"$95,974,524 ","$258,791,672 "
Alternate History,11,"$756,034,570 ","$2,114,630,809 "
Alternate or Altered Realities,11,"$399,313,189 ","$740,385,300 "
Amputee,11,"$183,054,016 ","$502,995,716 "
Amusement Park,11,"$93,574,165 ","$200,359,559 "
Chinese Mythology,11,"$4,929,906 ","$1,866,578,004 "
Cold Case,11,"$51,384,195 ","$151,290,179 "
Collectors and Collectables,11,"$85,233,871 ","$258,469,391 "
Computer Screen Film,11,"$67,771,884 ","$160,865,270 "
Death of a Pet,11,"$466,071,466 ","$770,206,484 "
Death of a Twin,11,"$816,562,912 ","$2,902,237,292 "
Double-Crossed,11,"$511,997,783 ","$885,798,124 "
Femme Fatale,11,"$87,716,354 ","$246,611,263 "
Fiction / Reality Crossover,11,"$191,991,829 ","$316,872,087 "
Forgery,11,"$6,521,354 ","$78,962,939 "
Hijacking,11,"$112,388,232 ","$254,209,404 "
Honeymoon,11,"$27,586,317 ","$27,781,908 "
Human Animal Transformation,11,"$462,125,942 ","$1,011,186,282 "
Humans as Aliens,11,"$1,567,171,299 ","$4,669,338,798 "
Lacrosse,11,"$183,686,185 ","$420,640,839 "
Letting Go,11,"$1,135,253,909 ","$3,758,317,571 "
Lovecraftian,11,"$216,584,727 ","$626,434,478 "
Martial Arts Master,11,"$257,559,345 ","$689,942,276 "
Mormons,11,"$10,530,584 ","$10,633,121 "
Navy,11,"$134,370,474 ","$317,239,721 "
Oregon,11,"$276,228 ","$345,318 "
Paranoia,11,"$15,459,216 ","$39,207,407 "
Police Investigation,11,"$47,780,909 ","$99,997,542 "
Police Standoff,11,"$245,565,359 ","$667,324,964 "
Russian Mafia,11,"$104,960,282 ","$265,789,702 "
Saturday Night Live,11,"$346,185,847 ","$407,831,947 "
Secret Police,11,"$36,745,200 ","$182,032,866 "
Security Guard,11,"$89,939,082 ","$157,798,459 "
Seoul,11,"$705,771,655 ","$1,457,346,448 "
Set in Berlin,11,"$521,553,769 ","$1,421,273,274 "
Set in Hawaii,11,"$111,016,142 ","$148,554,167 "
Set in Maine,11,"$556,054,216 ","$1,190,065,984 "
Set in Miami,11,"$274,208,911 ","$537,527,561 "
Set in Mississippi,11,"$21,766,846 ","$31,788,864 "
Set in Thailand,11,"$106,940 ","$4,028,570 "
Set in Turkey,11,"$8,344,319 ","$44,125,865 "
Shadowy Organization,11,"$554,013,907 ","$2,077,191,677 "
Shapeshifter,11,"$965,010,763 ","$2,945,535,458 "
Superstition,11,"$394,918,317 ","$832,557,963 "
Vikings,11,"$555,551,647 ","$1,641,691,673 "
Yakuza,11,"$62,733,785 ","$173,319,947 "
2010 Oscars Best Picture Nominee,10,"$1,716,103,511 ","$4,700,712,319 "
2011 Oscars Best Picture Nominee,10,"$1,360,834,008 ","$3,278,635,507 "
Animal Abuse,10,"$183,352,695 ","$444,951,411 "
Anti-war,10,"$185,793,576 ","$400,349,031 "
Bodybuilders,10,"$51,079,769 ","$82,540,919 "
Cheating,10,"$84,803,474 ","$109,134,935 "
Chess,10,"$12,825,420 ","$21,216,597 "
Colonialism,10,"$3,535,421 ","$19,930,512 "
Commies,10,"$142,949,017 ","$256,315,429 "
Corrupt Judge,10,"$137,231,095 ","$187,777,948 "
Divorced Couple Falling Back in Love,10,"$147,141,600 ","$416,696,956 "
Father and Daughter,10,"$13,774,949 ","$113,891,679 "
Friends Reuniting,10,"$24,810,404 ","$59,381,503 "
Gang Warfare,10,"$101,969,508 ","$219,138,150 "
